PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),NCH4 - 10 bar (mol/kg)
11.43517,12.61526,4476.65,0.738818,0.467104141,4.0095549976
15.56303,17.62281,5324.04,0.797366,0.391234756,4.2927776603
5.89921,10.11774,4987.26,0.756784,0.507639241,6.0065360103
11.91195,14.46784,5234.51,0.792061,0.407141573,4.3611497603
6.93423,8.34558,5454.1,0.750269,0.511832917,6.0293369536
4.51964,6.11937,633.082,0.23399,0.879420377,2.3704019346
8.94172,12.3633,4958.27,0.759145,0.446372985,4.1540767456
8.4538,11.82927,5169.1,0.762602,0.442866681,4.0837893806
9.60094,14.00691,4786.39,0.790396,0.445857976,2.4939132552
14.56626,16.44316,3423.09,0.733116,0.544322589,3.2527932371
10.14693,13.11389,4194.72,0.794472,0.460160301,3.1031182847
6.24851,6.59903,1300.99,0.469505,0.869866575,5.9294599639
7.60479,9.31044,4093.03,0.778347,0.515544978,5.2183956132
4.34066,4.97307,1545.76,0.562517,0.821353613,7.3259762132
4.37287,5.8785,1803.8,0.6035,0.834414866,8.035951345
8.8731,9.67457,5433.3,0.743239,0.453185386,3.1661744135
10.00706,16.50699,4733.02,0.774619,0.388927216,3.0562027061
15.06719,19.03062,4599.99,0.787875,0.367754022,2.7788178755
11.57022,13.01174,3962.44,0.721973,0.498621146,4.3391486599
8.82802,9.82571,5240.15,0.767283,0.464246829,2.7085800472
10.20953,15.92628,4849.26,0.797413,0.400152898,2.7032355573
15.19575,17.08502,3687.25,0.74408,0.492638257,3.575309231
5.50382,10.20776,3447.13,0.694951,0.635179925,4.9585106039
11.43619,13.04422,3936.79,0.74112,0.511454911,3.7294615396
9.73115,15.80654,4567.97,0.724599,0.381130921,3.0998429978
15.39693,16.33625,3034.94,0.616633,0.471869433,3.7108053529
15.05644,18.34548,4495.14,0.742259,0.361032943,2.6117749359
9.72064,10.73477,6328.64,0.768197,0.408576218,3.9598829028
9.13958,12.40335,4355.96,0.714319,0.488981166,3.9934441718
8.925,13.4243,5627.39,0.793591,0.415869273,3.9947797408
9.2295,14.839,4545.95,0.758894,0.442298502,3.5851400918
15.3982,15.99668,5025.41,0.788427,0.355372303,3.3257289321
6.50298,12.38705,4989.36,0.748113,0.481506028,3.2659378286
10.17868,11.28196,4784.15,0.748751,0.484775341,3.1723244475
9.21114,11.09236,4599.37,0.726531,0.473809134,3.8658122198
6.36393,10.74618,4718.18,0.752802,0.513738714,5.5638548663
7.12545,8.3515,5171.3,0.757125,0.522817561,5.9869061477
4.95881,6.06187,852.929,0.38084,0.89679599,2.6927679621
9.8917,13.47683,4741.19,0.762879,0.448887734,4.0083287658
9.48346,12.42693,5157.54,0.776464,0.443060513,3.8870362735
9.45494,12.16777,6783.97,0.78929,0.364780549,3.969280282
8.70152,9.96556,6510.55,0.727891,0.402993013,3.7199279498
11.75126,19.65722,5868.91,0.786857,0.32117185,3.3472308499
6.42647,10.28026,5042.03,0.666282,0.481757774,4.2591966086
8.6318,12.86165,6431.61,0.777927,0.328188653,2.6019932202
9.52332,14.76729,4382.04,0.772266,0.463605551,3.7436430697
17.75463,18.18567,4252.84,0.791098,0.374022009,2.9729195951
9.66037,13.2197,5738.62,0.79653,0.410042067,3.7042604533
9.49273,11.04057,5734.18,0.78551,0.450195555,3.6333272316
14.7612,15.03295,4299.48,0.767333,0.432812823,3.0919710093
10.65712,13.70417,4580.15,0.751443,0.472297747,3.3514834994
9.54929,11.6393,5489.06,0.785229,0.448661427,3.3320488567
7.48455,10.8059,4435.36,0.750653,0.534829547,4.0943178621
8.4371,11.20289,5213.21,0.767782,0.47155675,3.7406998817
6.53501,12.78335,5376.03,0.780594,0.442948938,3.1241406876
7.95151,9.39319,4485.76,0.738677,0.567717617,3.5152423789
9.17119,16.38588,4638.15,0.785809,0.457466677,2.4655603419
10.57034,12.12992,5483.45,0.796504,0.421148065,3.8996940134
9.08941,9.63335,4630.21,0.73524,0.504934035,4.4359006871
10.2493,13.74585,5217.12,0.776772,0.404708097,3.9739800778
13.9777,14.28965,4185.6,0.7441,0.497979922,5.2444589673
17.66481,17.88533,2784.9,0.659855,0.469893981,2.8627907946
10.87135,12.53115,4498.45,0.722479,0.468152435,4.32891686
15.60408,17.45707,5279.42,0.780348,0.388303702,4.3770703303
5.83513,9.7888,4856.4,0.733145,0.502355021,5.9017590884
11.80091,14.27859,5168.76,0.777026,0.405802132,4.3559795199
4.08316,5.98687,519.662,0.227916,0.879126707,1.9690429316
8.21165,11.19486,5153.96,0.746328,0.444891879,4.4329934563
8.40043,11.64109,5293.98,0.751153,0.436172345,4.2444695483
11.0297,13.66819,6249.41,0.79918,0.368379108,3.9706961141
17.7953,17.98935,5262.74,0.789179,0.356412592,4.576140002
8.62348,9.34088,3417.57,0.665883,0.559068933,4.5899117431
9.6931,13.46738,5040.35,0.776007,0.448543818,3.9662823068
12.24598,12.70026,5460.82,0.779255,0.410150806,3.7721143566
