PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 1 bar (mol/kg)
11.43517,12.61526,4476.65,0.738818,0.467104141,11.7409737812,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.4794115412
15.56303,17.62281,5324.04,0.797366,0.391234756,11.6014635665,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.558098677
5.89921,10.11774,4987.26,0.756784,0.507639241,11.9493958555,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.7235810226
11.91195,14.46784,5234.51,0.792061,0.407141573,11.250678485,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.5386239581
6.93423,8.34558,5454.1,0.750269,0.511832917,12.2368305038,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.747798047
4.51964,6.11937,633.082,0.23399,0.879420377,17.8476963265,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.4774498239
8.94172,12.3633,4958.27,0.759145,0.446372985,11.3421397649,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.5104967201
8.4538,11.82927,5169.1,0.762602,0.442866681,11.5135029473,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.497139891
9.60094,14.00691,4786.39,0.790396,0.445857976,7.9685708673,50,0,20.83333333,8.333333333,20.83333333,0,0,0.2619224218
14.56626,16.44316,3423.09,0.733116,0.544322589,13.0613972534,50,0,20.83333333,8.333333333,20.83333333,0,0,0.453529293
10.14693,13.11389,4194.72,0.794472,0.460160301,8.0169169996,60,0,30,0,10,0,0,0.3224001175
6.24851,6.59903,1300.99,0.469505,0.869866575,22.471943078,61.44578313,0,33.73493976,0,4.819277108,0,0,1.8943016009
7.60479,9.31044,4093.03,0.778347,0.515544978,11.3434443771,64.9122807,0,31.57894737,0,3.50877193,0,0,0.57847438
4.34066,4.97307,1545.76,0.562517,0.821353613,18.9971927765,60,0,30,0,10,0,0,1.6109599231
4.37287,5.8785,1803.8,0.6035,0.834414866,19.5747531181,66.66666667,0,28.57142857,0,4.761904762,0,0,2.4062214306
8.8731,9.67457,5433.3,0.743239,0.453185386,9.4733410911,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.3706738429
10.00706,16.50699,4733.02,0.774619,0.388927216,10.0798785225,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.343287063
15.06719,19.03062,4599.99,0.787875,0.367754022,8.5585465885,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.2962557865
11.57022,13.01174,3962.44,0.721973,0.498621146,14.3304280899,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.6894390917
8.82802,9.82571,5240.15,0.767283,0.464246829,8.5508243197,50,0,29.16666667,0,20.83333333,0,0,0.294337263
10.20953,15.92628,4849.26,0.797413,0.400152898,8.6477192153,50,0,29.16666667,0,20.83333333,0,0,0.2864565482
15.19575,17.08502,3687.25,0.74408,0.492638257,14.1674079471,50,0,29.16666667,0,20.83333333,0,0,0.5849151532
5.50382,10.20776,3447.13,0.694951,0.635179925,14.4153695526,50,0,29.16666667,0,20.83333333,0,0,0.7658241744
11.43619,13.04422,3936.79,0.74112,0.511454911,13.0809408841,50,0,29.16666667,0,20.83333333,0,0,0.5518798336
9.73115,15.80654,4567.97,0.724599,0.381130921,11.3890788341,50,0,46.875,0,3.125,0,0,0.3617208334
15.39693,16.33625,3034.94,0.616633,0.471869433,15.144008512,50,0,46.875,0,3.125,0,0,0.5827740088
15.05644,18.34548,4495.14,0.742259,0.361032943,8.5947696775,50,0,46.875,0,3.125,0,0,0.2792434171
9.72064,10.73477,6328.64,0.768197,0.408576218,9.3941372569,52.63157895,0,39.47368421,0,7.894736842,0,0,0.4301314642
9.13958,12.40335,4355.96,0.714319,0.488981166,11.1298913561,52.63157895,0,39.47368421,0,7.894736842,0,0,0.4600672028
8.925,13.4243,5627.39,0.793591,0.415869273,9.131015604,56.25,0,37.5,3.125,3.125,0,0,0.419123255
9.2295,14.839,4545.95,0.758894,0.442298502,9.5838232808,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.3871910747
15.3982,15.99668,5025.41,0.788427,0.355372303,9.2526352146,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.3536782179
6.50298,12.38705,4989.36,0.748113,0.481506028,9.8480634615,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.3601748658
10.17868,11.28196,4784.15,0.748751,0.484775341,9.0936279069,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.3353721474
9.21114,11.09236,4599.37,0.726531,0.473809134,13.1274082648,57.14285714,0,33.33333333,0,9.523809524,0,0,0.5118210513
6.36393,10.74618,4718.18,0.752802,0.513738714,12.7664321518,57.14285714,0,33.33333333,0,9.523809524,0,0,0.7050339353
7.12545,8.3515,5171.3,0.757125,0.522817561,12.1689629378,57.14285714,0,33.33333333,0,9.523809524,0,0,0.7346554896
4.95881,6.06187,852.929,0.38084,0.89679599,18.0372199568,57.14285714,0,33.33333333,0,9.523809524,0,0,0.5191480731
9.8917,13.47683,4741.19,0.762879,0.448887734,11.6056472655,57.14285714,0,33.33333333,0,9.523809524,0,0,0.497921887
9.48346,12.42693,5157.54,0.776464,0.443060513,10.3332248087,57.14285714,0,33.33333333,0,9.523809524,0,0,0.4492854741
9.45494,12.16777,6783.97,0.78929,0.364780549,8.9762220087,55.55555556,0,41.66666667,0,2.777777778,0,0,0.4320649997
8.70152,9.96556,6510.55,0.727891,0.402993013,9.5828834199,52.38095238,0,45.23809524,0,2.380952381,0,0,0.4138750631
11.75126,19.65722,5868.91,0.786857,0.32117185,9.7406137527,52.38095238,0,45.23809524,0,2.380952381,0,0,0.3896614814
6.42647,10.28026,5042.03,0.666282,0.481757774,11.6875337819,52.38095238,0,45.23809524,0,2.380952381,0,0,0.5088253226
8.6318,12.86165,6431.61,0.777927,0.328188653,6.7851233564,52.38095238,0,45.23809524,0,2.380952381,0,0,0.2721346685
9.52332,14.76729,4382.04,0.772266,0.463605551,10.0132463205,56.25,0,31.25,3.125,9.375,0,0,0.4024441594
17.75463,18.18567,4252.84,0.791098,0.374022009,9.109123366,56.25,0,31.25,3.125,9.375,0,0,0.3244594245
9.66037,13.2197,5738.62,0.79653,0.410042067,9.6939069478,56.25,0,31.25,3.125,9.375,0,0,0.4092680947
9.49273,11.04057,5734.18,0.78551,0.450195555,9.0974702659,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.3869480175
14.7612,15.03295,4299.48,0.767333,0.432812823,10.0706844629,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.3477591451
10.65712,13.70417,4580.15,0.751443,0.472297747,11.4830826573,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4090620342
9.54929,11.6393,5489.06,0.785229,0.448661427,9.1536923886,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.3662092409
7.48455,10.8059,4435.36,0.750653,0.534829547,10.9239717104,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4460716198
8.4371,11.20289,5213.21,0.767782,0.47155675,11.2930596464,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4421162419
