LCD (Å),Sacc (m2/gr),Porosity,Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 1 bar (mol/kg)
12.61526,4476.65,0.738818,11.7409737812,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.4794115412
17.62281,5324.04,0.797366,11.6014635665,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.558098677
10.11774,4987.26,0.756784,11.9493958555,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.7235810226
14.46784,5234.51,0.792061,11.250678485,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.5386239581
8.34558,5454.1,0.750269,12.2368305038,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.747798047
6.11937,633.082,0.23399,17.8476963265,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.4774498239
12.3633,4958.27,0.759145,11.3421397649,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.5104967201
11.82927,5169.1,0.762602,11.5135029473,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.497139891
14.00691,4786.39,0.790396,7.9685708673,50,0,20.83333333,8.333333333,20.83333333,0,0,0.2619224218
16.44316,3423.09,0.733116,13.0613972534,50,0,20.83333333,8.333333333,20.83333333,0,0,0.453529293
13.11389,4194.72,0.794472,8.0169169996,60,0,30,0,10,0,0,0.3224001175
6.59903,1300.99,0.469505,22.471943078,61.44578313,0,33.73493976,0,4.819277108,0,0,1.8943016009
9.31044,4093.03,0.778347,11.3434443771,64.9122807,0,31.57894737,0,3.50877193,0,0,0.57847438
4.97307,1545.76,0.562517,18.9971927765,60,0,30,0,10,0,0,1.6109599231
5.8785,1803.8,0.6035,19.5747531181,66.66666667,0,28.57142857,0,4.761904762,0,0,2.4062214306
9.67457,5433.3,0.743239,9.4733410911,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.3706738429
16.50699,4733.02,0.774619,10.0798785225,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.343287063
