PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),NH2 - 10 bar (mol/kg)
11.43517,12.61526,4476.65,0.738818,0.467104141,0.4233836096
15.56303,17.62281,5324.04,0.797366,0.391234756,0.5166184214
5.89921,10.11774,4987.26,0.756784,0.507639241,0.3938667326
11.91195,14.46784,5234.51,0.792061,0.407141573,0.4956534167
6.93423,8.34558,5454.1,0.750269,0.511832917,0.3917174194
4.51964,6.11937,633.082,0.23399,0.879420377,0.1182529601
8.94172,12.3633,4958.27,0.759145,0.446372985,0.4492439743
8.4538,11.82927,5169.1,0.762602,0.442866681,0.4543337194
9.60094,14.00691,4786.39,0.790396,0.445857976,0.458614854
14.56626,16.44316,3423.09,0.733116,0.544322589,0.3442128533
10.14693,13.11389,4194.72,0.794472,0.460160301,0.4621350436
6.24851,6.59903,1300.99,0.469505,0.869866575,0.0891284636
7.60479,9.31044,4093.03,0.778347,0.515544978,0.4112210674
4.34066,4.97307,1545.76,0.562517,0.821353613,0.1462533734
4.37287,5.8785,1803.8,0.6035,0.834414866,0.1129455495
8.8731,9.67457,5433.3,0.743239,0.453185386,0.4327771308
10.00706,16.50699,4733.02,0.774619,0.388927216,0.5013540952
15.06719,19.03062,4599.99,0.787875,0.367754022,0.5375592394
11.57022,13.01174,3962.44,0.721973,0.498621146,0.3651662329
8.82802,9.82571,5240.15,0.767283,0.464246829,0.4316009309
10.20953,15.92628,4849.26,0.797413,0.400152898,0.5045904757
15.19575,17.08502,3687.25,0.74408,0.492638257,0.3721223361
5.50382,10.20776,3447.13,0.694951,0.635179925,0.2805671332
11.43619,13.04422,3936.79,0.74112,0.511454911,0.3651938556
9.73115,15.80654,4567.97,0.724599,0.381130921,0.481037206
15.39693,16.33625,3034.94,0.616633,0.471869433,0.3424913811
15.05644,18.34548,4495.14,0.742259,0.361032943,0.5123707868
9.72064,10.73477,6328.64,0.768197,0.408576218,0.5024454735
9.13958,12.40335,4355.96,0.714319,0.488981166,0.4036761664
8.925,13.4243,5627.39,0.793591,0.415869273,0.5239292742
9.2295,14.839,4545.95,0.758894,0.442298502,0.4691685609
15.3982,15.99668,5025.41,0.788427,0.355372303,0.5661111594
6.50298,12.38705,4989.36,0.748113,0.481506028,0.4110060307
10.17868,11.28196,4784.15,0.748751,0.484775341,0.4157777692
9.21114,11.09236,4599.37,0.726531,0.473809134,0.421783553
6.36393,10.74618,4718.18,0.752802,0.513738714,0.386161347
7.12545,8.3515,5171.3,0.757125,0.522817561,0.3879355269
4.95881,6.06187,852.929,0.38084,0.89679599,0.1291067738
9.8917,13.47683,4741.19,0.762879,0.448887734,0.4474643808
9.48346,12.42693,5157.54,0.776464,0.443060513,0.4665879932
9.45494,12.16777,6783.97,0.78929,0.364780549,0.570133232
8.70152,9.96556,6510.55,0.727891,0.402993013,0.4811558885
11.75126,19.65722,5868.91,0.786857,0.32117185,0.6065164305
