PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-H2 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NH2 - 1 bar (mol/kg)
11.43517,12.61526,4476.65,0.738818,0.467104141,2.671401613,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.0486784597
15.56303,17.62281,5324.04,0.797366,0.391234756,2.279338303,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.057865776
5.89921,10.11774,4987.26,0.756784,0.507639241,3.0757842262,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.0491040344
11.91195,14.46784,5234.51,0.792061,0.407141573,2.3269510811,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.0557656546
6.93423,8.34558,5454.1,0.750269,0.511832917,3.172249385,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.050314296
4.51964,6.11937,633.082,0.23399,0.879420377,5.2423509215,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.017030493
8.94172,12.3633,4958.27,0.759145,0.446372985,2.5616623924,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.0517593205
8.4538,11.82927,5169.1,0.762602,0.442866681,2.4937804346,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.0516649866
9.60094,14.00691,4786.39,0.790396,0.445857976,1.8977285767,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0490781778
14.56626,16.44316,3423.09,0.733116,0.544322589,2.5758843603,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0396097929
10.14693,13.11389,4194.72,0.794472,0.460160301,2.1624979459,60,0,30,0,10,0,0,0.0515529132
6.24851,6.59903,1300.99,0.469505,0.869866575,5.6046692177,61.44578313,0,33.73493976,0,4.819277108,0,0,0.0205287118
7.60479,9.31044,4093.03,0.778347,0.515544978,2.8615372917,64.9122807,0,31.57894737,0,3.50877193,0,0,0.0487828086
4.34066,4.97307,1545.76,0.562517,0.821353613,5.3583601496,60,0,30,0,10,0,0,0.0284372029
4.37287,5.8785,1803.8,0.6035,0.834414866,5.3882941878,66.66666667,0,28.57142857,0,4.761904762,0,0,0.0287566803
8.8731,9.67457,5433.3,0.743239,0.453185386,2.2621967846,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.048323949
10.00706,16.50699,4733.02,0.774619,0.388927216,1.8837757607,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.0539295409
15.06719,19.03062,4599.99,0.787875,0.367754022,1.7485570194,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.0572660799
11.57022,13.01174,3962.44,0.721973,0.498621146,2.7537265101,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.0445651141
8.82802,9.82571,5240.15,0.767283,0.464246829,2.1240986653,50,0,29.16666667,0,20.83333333,0,0,0.0476898144
10.20953,15.92628,4849.26,0.797413,0.400152898,1.7998318396,50,0,29.16666667,0,20.83333333,0,0,0.0533300001
15.19575,17.08502,3687.25,0.74408,0.492638257,2.5484889472,50,0,29.16666667,0,20.83333333,0,0,0.0438808774
5.50382,10.20776,3447.13,0.694951,0.635179925,3.4030556498,50,0,29.16666667,0,20.83333333,0,0,0.0370059037
11.43619,13.04422,3936.79,0.74112,0.511454911,2.5403084033,50,0,29.16666667,0,20.83333333,0,0,0.0431974916
9.73115,15.80654,4567.97,0.724599,0.381130921,1.94866734,50,0,46.875,0,3.125,0,0,0.0518331007
15.39693,16.33625,3034.94,0.616633,0.471869433,2.6121894679,50,0,46.875,0,3.125,0,0,0.040925176
15.05644,18.34548,4495.14,0.742259,0.361032943,1.7637214496,50,0,46.875,0,3.125,0,0,0.0545184364
9.72064,10.73477,6328.64,0.768197,0.408576218,2.3437416074,52.63157895,0,39.47368421,0,7.894736842,0,0,0.0558896606
9.13958,12.40335,4355.96,0.714319,0.488981166,2.9331988415,52.63157895,0,39.47368421,0,7.894736842,0,0,0.0467206656
8.925,13.4243,5627.39,0.793591,0.415869273,2.5151584177,56.25,0,37.5,3.125,3.125,0,0,0.0577546175
9.2295,14.839,4545.95,0.758894,0.442298502,2.6150880943,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0520891861
15.3982,15.99668,5025.41,0.788427,0.355372303,2.0070310234,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0610419554
6.50298,12.38705,4989.36,0.748113,0.481506028,2.3973334634,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.046035772
10.17868,11.28196,4784.15,0.748751,0.484775341,2.3853705038,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.0467776602
9.21114,11.09236,4599.37,0.726531,0.473809134,2.6081810048,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0480905113
6.36393,10.74618,4718.18,0.752802,0.513738714,3.0915655582,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0472130173
7.12545,8.3515,5171.3,0.757125,0.522817561,3.1522405651,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0495490919
4.95881,6.06187,852.929,0.38084,0.89679599,5.2406337281,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0185244001
9.8917,13.47683,4741.19,0.762879,0.448887734,2.5238865169,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0502399985
9.48346,12.42693,5157.54,0.776464,0.443060513,2.4253446792,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0522402158
9.45494,12.16777,6783.97,0.78929,0.364780549,2.1779231687,55.55555556,0,41.66666667,0,2.777777778,0,0,0.0625672065
8.70152,9.96556,6510.55,0.727891,0.402993013,2.408621173,52.38095238,0,45.23809524,0,2.380952381,0,0,0.0541393664
11.75126,19.65722,5868.91,0.786857,0.32117185,1.8655179255,52.38095238,0,45.23809524,0,2.380952381,0,0,0.0669285425
6.42647,10.28026,5042.03,0.666282,0.481757774,3.0061350285,52.38095238,0,45.23809524,0,2.380952381,0,0,0.0441388797
8.6318,12.86165,6431.61,0.777927,0.328188653,1.7011926062,52.38095238,0,45.23809524,0,2.380952381,0,0,0.0636196922
9.52332,14.76729,4382.04,0.772266,0.463605551,2.610489307,56.25,0,31.25,3.125,9.375,0,0,0.0501939557
17.75463,18.18567,4252.84,0.791098,0.374022009,1.9342512336,56.25,0,31.25,3.125,9.375,0,0,0.0568444471
9.66037,13.2197,5738.62,0.79653,0.410042067,2.2954463351,56.25,0,31.25,3.125,9.375,0,0,0.0565951214
9.49273,11.04057,5734.18,0.78551,0.450195555,2.3235933636,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0513675609
14.7612,15.03295,4299.48,0.767333,0.432812823,2.1853920293,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0498165089
10.65712,13.70417,4580.15,0.751443,0.472297747,2.4547278206,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0464924911
9.54929,11.6393,5489.06,0.785229,0.448661427,2.3207722047,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0526005886
7.48455,10.8059,4435.36,0.750653,0.534829547,2.9411947797,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0452704028
8.4371,11.20289,5213.21,0.767782,0.47155675,2.5143340514,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0491429538
6.53501,12.78335,5376.03,0.780594,0.442948938,2.2369161081,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0514355415
7.95151,9.39319,4485.76,0.738677,0.567717617,2.706740213,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.0403997173
9.17119,16.38588,4638.15,0.785809,0.457466677,1.9457563116,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.047114546
10.57034,12.12992,5483.45,0.796504,0.421148065,2.364223913,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.055912772
9.08941,9.63335,4630.21,0.73524,0.504934035,2.9096654351,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.0462513831
10.2493,13.74585,5217.12,0.776772,0.404708097,2.285282267,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.0569475954
13.9777,14.28965,4185.6,0.7441,0.497979922,3.0325797876,56.25,0,31.25,3.125,9.375,0,0,0.0475091879
17.66481,17.88533,2784.9,0.659855,0.469893981,2.3278643132,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.0423471185
10.87135,12.53115,4498.45,0.722479,0.468152435,2.7729940107,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0480988607
15.60408,17.45707,5279.42,0.780348,0.388303702,2.3450690692,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0582655913
5.83513,9.7888,4856.4,0.733145,0.502355021,3.158281959,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0486808842
11.80091,14.27859,5168.76,0.777026,0.405802132,2.3627917158,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0554776264
4.08316,5.98687,519.662,0.227916,0.879126707,5.3622178609,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0144093952
8.21165,11.19486,5153.96,0.746328,0.444891879,2.6654288764,56.52173913,0,39.13043478,0,4.347826087,0,0,0.052425236
8.40043,11.64109,5293.98,0.751153,0.436172345,2.5146179442,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0520587767
