LCD (Å),Sacc (m2/gr),Porosity,Qst-H2 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NH2 - 1 bar (mol/kg)
12.61526,4476.65,0.738818,2.671401613,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.0486784597
17.62281,5324.04,0.797366,2.279338303,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.057865776
10.11774,4987.26,0.756784,3.0757842262,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.0491040344
14.46784,5234.51,0.792061,2.3269510811,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.0557656546
8.34558,5454.1,0.750269,3.172249385,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.050314296
6.11937,633.082,0.23399,5.2423509215,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.017030493
12.3633,4958.27,0.759145,2.5616623924,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.0517593205
11.82927,5169.1,0.762602,2.4937804346,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.0516649866
14.00691,4786.39,0.790396,1.8977285767,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0490781778
16.44316,3423.09,0.733116,2.5758843603,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0396097929
13.11389,4194.72,0.794472,2.1624979459,60,0,30,0,10,0,0,0.0515529132
6.59903,1300.99,0.469505,5.6046692177,61.44578313,0,33.73493976,0,4.819277108,0,0,0.0205287118
9.31044,4093.03,0.778347,2.8615372917,64.9122807,0,31.57894737,0,3.50877193,0,0,0.0487828086
4.97307,1545.76,0.562517,5.3583601496,60,0,30,0,10,0,0,0.0284372029
5.8785,1803.8,0.6035,5.3882941878,66.66666667,0,28.57142857,0,4.761904762,0,0,0.0287566803
9.67457,5433.3,0.743239,2.2621967846,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.048323949
16.50699,4733.02,0.774619,1.8837757607,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.0539295409
19.03062,4599.99,0.787875,1.7485570194,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.0572660799
13.01174,3962.44,0.721973,2.7537265101,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.0445651141
9.82571,5240.15,0.767283,2.1240986653,50,0,29.16666667,0,20.83333333,0,0,0.0476898144
15.92628,4849.26,0.797413,1.7998318396,50,0,29.16666667,0,20.83333333,0,0,0.0533300001
17.08502,3687.25,0.74408,2.5484889472,50,0,29.16666667,0,20.83333333,0,0,0.0438808774
10.20776,3447.13,0.694951,3.4030556498,50,0,29.16666667,0,20.83333333,0,0,0.0370059037
13.04422,3936.79,0.74112,2.5403084033,50,0,29.16666667,0,20.83333333,0,0,0.0431974916
15.80654,4567.97,0.724599,1.94866734,50,0,46.875,0,3.125,0,0,0.0518331007
16.33625,3034.94,0.616633,2.6121894679,50,0,46.875,0,3.125,0,0,0.040925176
18.34548,4495.14,0.742259,1.7637214496,50,0,46.875,0,3.125,0,0,0.0545184364
10.73477,6328.64,0.768197,2.3437416074,52.63157895,0,39.47368421,0,7.894736842,0,0,0.0558896606
12.40335,4355.96,0.714319,2.9331988415,52.63157895,0,39.47368421,0,7.894736842,0,0,0.0467206656
13.4243,5627.39,0.793591,2.5151584177,56.25,0,37.5,3.125,3.125,0,0,0.0577546175
14.839,4545.95,0.758894,2.6150880943,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0520891861
15.99668,5025.41,0.788427,2.0070310234,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0610419554
12.38705,4989.36,0.748113,2.3973334634,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.046035772
11.28196,4784.15,0.748751,2.3853705038,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.0467776602
11.09236,4599.37,0.726531,2.6081810048,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0480905113
10.74618,4718.18,0.752802,3.0915655582,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0472130173
8.3515,5171.3,0.757125,3.1522405651,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0495490919
6.06187,852.929,0.38084,5.2406337281,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0185244001
13.47683,4741.19,0.762879,2.5238865169,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0502399985
12.42693,5157.54,0.776464,2.4253446792,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0522402158
12.16777,6783.97,0.78929,2.1779231687,55.55555556,0,41.66666667,0,2.777777778,0,0,0.0625672065
9.96556,6510.55,0.727891,2.408621173,52.38095238,0,45.23809524,0,2.380952381,0,0,0.0541393664
19.65722,5868.91,0.786857,1.8655179255,52.38095238,0,45.23809524,0,2.380952381,0,0,0.0669285425
10.28026,5042.03,0.666282,3.0061350285,52.38095238,0,45.23809524,0,2.380952381,0,0,0.0441388797
12.86165,6431.61,0.777927,1.7011926062,52.38095238,0,45.23809524,0,2.380952381,0,0,0.0636196922
14.76729,4382.04,0.772266,2.610489307,56.25,0,31.25,3.125,9.375,0,0,0.0501939557
18.18567,4252.84,0.791098,1.9342512336,56.25,0,31.25,3.125,9.375,0,0,0.0568444471
13.2197,5738.62,0.79653,2.2954463351,56.25,0,31.25,3.125,9.375,0,0,0.0565951214
11.04057,5734.18,0.78551,2.3235933636,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0513675609
15.03295,4299.48,0.767333,2.1853920293,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0498165089
13.70417,4580.15,0.751443,2.4547278206,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0464924911
11.6393,5489.06,0.785229,2.3207722047,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0526005886
10.8059,4435.36,0.750653,2.9411947797,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0452704028
11.20289,5213.21,0.767782,2.5143340514,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0491429538
12.78335,5376.03,0.780594,2.2369161081,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0514355415
9.39319,4485.76,0.738677,2.706740213,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.0403997173
